"","Country","Output","Industry","Top","Input","Correlation","Oppotunities","nombre clients corr","Rapport","tests input"
"201","France","FPSA","Gov","top2","CA 15-3","0.51692504203988","23","51","1.0866",21392
"202","France","FPSA","Gov","top3","FT4","0.497044905084755","47","59","0.1266",258057
"203","France","FPSA","Gov","top4","FT3","0.468245154270691","38","54","0.2536",125178
"204","France","FPSA","Gov","top5","Toxo IgM","0.443697735905887","33","42","0.1585",176501
"205","France","FT3","Gov","base","TSH","0.641208965203546","17","92","0.1495",933026
"206","France","FT3","Gov","top1","FT4","0.875767899087412","14","92","0.5549",258057
"207","France","FT3","Gov","top2","B2MG","0.80498565597008","7","53","0.8646",101444
"208","France","FT3","Gov","top3","AMYL","0.765028698064458","13","38","1.7779",76453
"209","France","FT3","Gov","top4","PTH","0.723092862753707","8","57","0.9098",114935
"210","France","FT3","Gov","top5","Vit D Total","0.715693180482207","9","67","0.3565",285948
"211","France","FT4","Gov","base","TSH","0.755778473321087","4","105","0.2685",933026
"212","France","FT4","Gov","top1","FT3","0.875767899087412","0","92","1.802",125178
"213","France","FT4","Gov","top2","B2MG","0.777263498901899","4","56","1.557",101444
"214","France","FT4","Gov","top3","FERR","0.77340048694166","13","102","0.3748",718485
"215","France","FT4","Gov","top4","TSH","0.755778473321087","4","105","0.2685",933026
"216","France","FT4","Gov","top5","PTH","0.743683307934886","4","61","1.5664",114935
"217","France","HBA1C","Gov","base","GLU","0.589246035926996","89","42","0.1054",5074645
"218","France","HBA1C","Gov","top1","FERR","0.932975578199683","74","41","0.5827",718485
"219","France","HBA1C","Gov","top2","TRIGL","0.85575061581716","83","42","0.63",729753
"220","France","HBA1C","Gov","top3","HDL-C","0.853894542718205","80","42","0.726",615156
"221","France","HBA1C","Gov","top4","CHOL","0.851494101353636","81","42","0.6352",697511
"222","France","HBA1C","Gov","top5","ALT","0.840931601347382","89","42","0.115",3853581
"223","France","HBV quant.","Gov","base",NA,NA,NA,NA,NA,NA
"224","France","HBV quant.","Gov","top1",NA,NA,NA,NA,NA,NA
"225","France","HBV quant.","Gov","top2",NA,NA,NA,NA,NA,NA
"226","France","HBV quant.","Gov","top3",NA,NA,NA,NA,NA,NA
"227","France","HBV quant.","Gov","top4",NA,NA,NA,NA,NA,NA
"228","France","HBV quant.","Gov","top5",NA,NA,NA,NA,NA,NA
"229","France","hCT","Gov","base","Anti-TPO","-0.529511803491932","27","3","0.1418",18037
"230","France","hCT","Gov","top1",NA,NA,NA,NA,NA,NA
"231","France","hCT","Gov","top2",NA,NA,NA,NA,NA,NA
"232","France","hCT","Gov","top3",NA,NA,NA,NA,NA,NA
"233","France","hCT","Gov","top4",NA,NA,NA,NA,NA,NA
"234","France","hCT","Gov","top5",NA,NA,NA,NA,NA,NA
"235","France","HGH","Gov","base","ACTH","0.060409874603187","23","7","0.7592",33896
"236","France","HGH","Gov","top1","B2MG","0.74943213979051","53","7","0.2026",101444
"237","France","HGH","Gov","top2","CORT","0.685299278282317","83","7","0.2748",98902
"238","France","HGH","Gov","top3","IgG","0.656744031666076","74","7","0.2066",110979
"239","France","HGH","Gov","top4","IgM","0.520593214897646","74","7","0.2376",99553
"240","France","HGH","Gov","top5","TSH","0.513098328029061","102","7","0.0272",933026
"241","France","IGF-1","Gov","base","ACTH","-1","28","2","0.4777",33896
"242","France","IGF-1","Gov","top1",NA,NA,NA,NA,NA,NA
"243","France","IGF-1","Gov","top2",NA,NA,NA,NA,NA,NA
"244","France","IGF-1","Gov","top3",NA,NA,NA,NA,NA,NA
"245","France","IGF-1","Gov","top4",NA,NA,NA,NA,NA,NA
"246","France","IGF-1","Gov","top5",NA,NA,NA,NA,NA,NA
"247","France","INS","Gov","base","CORT","0.938114604656209","62","28","0.3217",98902
"248","France","INS","Gov","top1","FSH","0.944503942510838","36","24","0.694",33969
"249","France","INS","Gov","top2","CORT","0.938114604656209","62","28","0.3217",98902
"250","France","INS","Gov","top3","Vit D Total","0.921625647064523","57","19","0.1053",285948
"251","France","INS","Gov","top4","IgG","0.911222800417486","65","16","0.2487",110979
"252","France","INS","Gov","top5","B12","0.908571342376973","65","25","0.1093",337674
"253","France","Osteocalcin","Gov","base","Beta-CrossLaps","-0.258245832208576","6","3","1.1367",1690
"254","France","Osteocalcin","Gov","top1",NA,NA,NA,NA,NA,NA
"255","France","Osteocalcin","Gov","top2",NA,NA,NA,NA,NA,NA
"256","France","Osteocalcin","Gov","top3",NA,NA,NA,NA,NA,NA
"257","France","Osteocalcin","Gov","top4",NA,NA,NA,NA,NA,NA
"258","France","Osteocalcin","Gov","top5",NA,NA,NA,NA,NA,NA
"259","France","ProBNP","Gov","base","TNT","0.877623907023119","2","124","0.7274",1258805
"260","France","ProBNP","Gov","top1","TNT","0.877623907023119","2","124","0.7274",1258805
"261","France","ProBNP","Gov","top2","CRP","0.859663969040312","7","124","0.1645",5782347
"262","France","ProBNP","Gov","top3","AST","0.857364887428758","7","124","0.2529",3775681
"263","France","ProBNP","Gov","top4","BIL-T","0.847551329733577","7","124","0.2984",3200587
"264","France","ProBNP","Gov","top5","ALT","0.846329117175097","7","124","0.2476",3853581
"265","France","PTH","Gov","base","Vit D Total","0.850986612031635","22","54","0.35",285948
"266","France","PTH","Gov","top1","FOLATE","0.910522559610997","27","59","0.4228",337971
"267","France","PTH","Gov","top2","IgG","0.906704771037682","31","50","1.1274",110979
"268","France","PTH","Gov","top3","B12","0.899520953787517","29","61","0.4338",337674
"269","France","PTH","Gov","top4","CORT","0.888240949673785","29","61","1.5789",98902
"270","France","PTH","Gov","top5","B2MG","0.872562472721687","17","43","1.1121",101444
"271","France","S100","Gov","base","ProBNP","-0.0368413877736933","111","14","0.0177",913328
"272","France","S100","Gov","top1","IgA","0.907793859506467","74","7","0.0556",104551
"273","France","S100","Gov","top2","IgM","0.907425592116062","74","7","0.057",99553
"274","France","S100","Gov","top3","IgG","0.886228925793137","74","7","0.0536",110979
